Group of category,Category,sub-Category,Level,Levelname,Data,Indicator,Group of Modality,Modality,years,Comments
Service coverage indicators,Maternal Health,Family planning,District,Huye,,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyamagabe,,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Ruhango,1.7,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Muhanga,0.9,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Kamonyi,2,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Karongi,2.5,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rutsiro,0.5,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rubavu,0.9,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyabihu,0.5,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Ngororero,0.6,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rusizi,4.2,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyamasheke,4.3,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rulindo,0.5,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Gakenke,1.5,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Musanze,1.2,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Burera,1.4,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Gicumbi,0.5,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rwamagana,0.5,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyagatare,1,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Gatsibo,0.6,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Kayonza,0.7,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Kirehe,0.9,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Ngoma,1.6,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Bugesera,0.5,Currently use of Female sterilization,,,2015,
Service coverage indicators,Maternal Health,Family planning,National,Rwanda,0.5,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,National,Rwanda,1.1,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,Kigali City,2.6,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,South,0.4,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,West,0.2,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,North,0.2,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,East,0.1,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,Kigali City,3.8,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,South,1.3,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,West,0.3,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,North,0.7,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,East,0.7,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyarugenge,3.8,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gasabo,1.9,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Kicukiro,2.7,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyanza,0.6,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gisagara,0,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyaruguru,0,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Huye,0.6,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyamagabe,0,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Ruhango,0.4,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Muhanga,0.6,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Kamonyi,1.3,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Karongi,0.5,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rutsiro,0,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rubavu,0.5,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyabihu,0,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Ngororero,0,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rusizi,0.5,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyamasheke,0,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rulindo,0,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gakenke,0,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Musanze,0,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Burera,0.5,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gicumbi,0.4,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rwamagana,0.4,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyagatare,0,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gatsibo,0,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Kayonza,0,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Kirehe,0,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Ngoma,0,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Bugesera,0.3,Currently use of IUD,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyarugenge,2.5,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Gasabo,2.9,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Kicukiro,7.4,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyanza,0.6,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Gisagara,0.8,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyaruguru,0.6,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Huye,1.6,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyamagabe,0,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Ruhango,3.1,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Muhanga,2.1,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Kamonyi,1.1,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Karongi,0,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rutsiro,0.9,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rubavu,0,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyabihu,0,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Ngororero,0,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rusizi,0.9,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyamasheke,0,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rulindo,0.1,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Gakenke,0.7,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Musanze,0.5,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Burera,0.5,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Gicumbi,1.5,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rwamagana,0.4,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyagatare,0,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Gatsibo,0,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Kayonza,0.8,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Kirehe,1.3,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Ngoma,1.7,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Bugesera,1,Currently use of IUD,,,2015,
Service coverage indicators,Maternal Health,Family planning,National,Rwanda,6.3,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,National,Rwanda,7.7,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,Kigali City,3.8,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,South,4.7,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,West,6.7,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,North,7.8,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,East,8.5,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,Kigali City,10.6,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,South,8.4,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,West,6.2,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,North,8.9,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,East,6.3,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyarugenge,6.4,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gasabo,4.8,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Kicukiro,7.4,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyanza,8.3,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gisagara,7.1,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyaruguru,6.1,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Huye,6.6,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyamagabe,6.4,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Ruhango,9.2,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Muhanga,14.5,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Kamonyi,9.5,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Karongi,7.6,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rutsiro,6.9,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rubavu,5.3,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyabihu,11.6,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Ngororero,3.7,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rusizi,0.4,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyamasheke,3.6,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rulindo,3,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gakenke,4.5,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Musanze,4.1,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Burera,2.5,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gicumbi,7.6,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rwamagana,7.7,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyagatare,8.9,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gatsibo,7.8,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Kayonza,4.4,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Kirehe,4.9,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Ngoma,9.4,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Bugesera,2,Currently use of Implants,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyarugenge,10.2,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Gasabo,11.8,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Kicukiro,8.3,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyanza,6.5,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Gisagara,9,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyaruguru,5.6,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Huye,7.9,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyamagabe,16.6,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Ruhango,10.4,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Muhanga,4.5,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Kamonyi,7,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Karongi,7.8,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rutsiro,8.7,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rubavu,6.8,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyabihu,8.1,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Ngororero,4.4,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rusizi,3.1,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyamasheke,6,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rulindo,8.2,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Gakenke,5.6,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Musanze,13.4,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Burera,4.9,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Gicumbi,11.6,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rwamagana,8,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyagatare,7.1,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Gatsibo,5.4,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Kayonza,7,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Kirehe,4.7,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Ngoma,5.4,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Bugesera,6.3,Currently use of Implants,,,2015,
Service coverage indicators,Maternal Health,Family planning,National,Rwanda,4.7,Currently use of Injectables,,,2005,
Service coverage indicators,Maternal Health,Family planning,National,Rwanda,26.3,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,National,Rwanda,24,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,Kigali City,6.6,Currently use of Injectables,,,2005,
Service coverage indicators,Maternal Health,Family planning,province,South,3.9,Currently use of Injectables,,,2005,
Service coverage indicators,Maternal Health,Family planning,province,West,4.7,Currently use of Injectables,,,2005,
Service coverage indicators,Maternal Health,Family planning,province,North,5.5,Currently use of Injectables,,,2005,
Service coverage indicators,Maternal Health,Family planning,province,East,4.1,Currently use of Injectables,,,2005,
Service coverage indicators,Maternal Health,Family planning,province,Kigali City,20.9,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,South,27.7,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,West,19.3,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,North,36,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,East,27.5,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,Kigali City,16.6,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,South,25.5,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,West,22.7,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,North,29.5,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,East,24,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyarugenge,24.4,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gasabo,20.7,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Kicukiro,18.4,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyanza,27.5,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gisagara,25,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyaruguru,28.1,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Huye,23,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyamagabe,24.4,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Ruhango,25,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Muhanga,32,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Kamonyi,35.5,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Karongi,18.5,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rutsiro,25.4,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rubavu,21.5,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyabihu,23.8,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Ngororero,19.4,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rusizi,11.8,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyamasheke,15.3,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rulindo,34.9,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gakenke,36.7,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Musanze,40.6,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Burera,36,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gicumbi,31.7,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rwamagana,28.6,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyagatare,24.8,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gatsibo,28.6,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Kayonza,30.8,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Kirehe,32.5,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Ngoma,26.9,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Bugesera,22.4,Currently use of Injectables,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyarugenge,19.3,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Gasabo,15.4,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Kicukiro,15.9,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyanza,24,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Gisagara,26.2,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyaruguru,25.1,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Huye,26.6,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyamagabe,29.7,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Ruhango,21.4,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Muhanga,25,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Kamonyi,25.7,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Karongi,16.9,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rutsiro,25.4,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rubavu,28.4,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyabihu,29.9,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Ngororero,25.8,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rusizi,16.9,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyamasheke,16.7,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rulindo,21.7,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Gakenke,35.3,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Musanze,36.6,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Burera,26.3,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Gicumbi,26.4,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Rwamagana,24,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyagatare,26,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Gatsibo,23.1,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Kayonza,20.8,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Kirehe,30.4,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Ngoma,23.1,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Bugesera,20.2,Currently use of Injectables,,,2015,
Service coverage indicators,Maternal Health,Family planning,National,Rwanda,0.9,Currently use of Male condom,,,2005,
Service coverage indicators,Maternal Health,Family planning,National,Rwanda,2.9,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,National,Rwanda,3.8,Currently use of Male condom,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,Kigali City,5.2,Currently use of Male condom,,,2005,
Service coverage indicators,Maternal Health,Family planning,province,South,0.7,Currently use of Male condom,,,2005,
Service coverage indicators,Maternal Health,Family planning,province,West,0.4,Currently use of Male condom,,,2005,
Service coverage indicators,Maternal Health,Family planning,province,North,0.7,Currently use of Male condom,,,2005,
Service coverage indicators,Maternal Health,Family planning,province,East,0.4,Currently use of Male condom,,,2005,
Service coverage indicators,Maternal Health,Family planning,province,Kigali City,5,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,South,2.5,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,West,2.6,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,North,2.6,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,East,2.9,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,province,Kigali City,4.8,Currently use of Male condom,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,South,3.1,Currently use of Male condom,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,West,3.3,Currently use of Male condom,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,North,3.9,Currently use of Male condom,,,2015,
Service coverage indicators,Maternal Health,Family planning,province,East,4.4,Currently use of Male condom,,,2015,
Service coverage indicators,Maternal Health,Family planning,District,Nyarugenge,5.6,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gasabo,4.7,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Kicukiro,5.1,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyanza,2.2,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gisagara,3.5,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyaruguru,1.9,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Huye,2.5,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyamagabe,1,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Ruhango,2,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Muhanga,3.2,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Kamonyi,3.1,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Karongi,2.2,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rutsiro,3.9,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rubavu,0.9,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyabihu,0.8,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Ngororero,2.7,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rusizi,4.7,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyamasheke,2.9,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rulindo,1.8,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gakenke,2.7,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Musanze,1.8,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Burera,1.9,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gicumbi,4.3,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Rwamagana,3.4,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Nyagatare,20,Currently use of Male condom,,,2010,
Service coverage indicators,Maternal Health,Family planning,District,Gatsibo,3.3,Currently use of Male condom,,,2010,
